Dist.,Customer,Document Amount,Type,Bank Key,Validate On
MBD,12355457930,4400,Phyical Collections,HBL,8/15/2024
DGK,12355457931,34288,Phyical Collections,MCB,8/15/2024
DAY,12355457932,7000,Phyical Collections,UBL,8/15/2024
RJN,12355457933,5600,Phyical Collections,BOP,8/15/2024
HAF,12355457934,83000,Phyical Collections,HBL,8/15/2024
DDU,12355457935,64000,Phyical Collections,BAH,8/15/2024
BWN,12355457936,18000,Phyical Collections,HBL,8/15/2024
BWN,12355457937,17000,Phyical Collections,HBL,8/15/2024
BWN,12355457938,5150,Phyical Collections,HBL,8/15/2024
BWN,12355457939,6500,Phyical Collections,HBL,8/15/2024
BWN,12355457940,19000,Phyical Collections,HBL,8/15/2024
SKT,12355457941,25722,Phyical Collections,BOP,8/15/2024
MZG,12355457942,15350,Phyical Collections,BAH,8/15/2024
DDU,12355457943,10800,Phyical Collections,MCB,8/15/2024
DDU,12355457944,6000,Phyical Collections,HBL,8/15/2024
OKR,12355457945,9080,Phyical Collections,UBL,8/15/2024
DAY,12355457946,23406,Phyical Collections,MCB,8/16/2024
KAD,12355457947,19250,Phyical Collections,HBL,8/15/2024
KAD,12355457948,23610,Phyical Collections,UBL,8/15/2024
SDQ,12355457949,17063,Phyical Collections,HBL,8/15/2024
MNG,12355457950,10730,Phyical Collections,ABL,8/15/2024
MNG,12355457951,5000,Phyical Collections,UBL,8/15/2024
MNG,12355457952,6500,Phyical Collections,HBL,8/15/2024
DAY,12355457953,9050,Phyical Collections,HMB,8/15/2024
SKT,12355457954,26000,Phyical Collections,BAH,8/15/2024
RJN,12355457955,21430,Phyical Collections,BOP,8/15/2024
DAY,12355457956,7500,Phyical Collections,MCB,8/15/2024
DAY,12355457957,40000,Phyical Collections,UBL,8/15/2024
MUL,12355457958,100000,Phyical Collections,MBL,8/15/2024
MUL,12355457959,72000,Phyical Collections,BAL,8/15/2024
TTS,12355457960,2,Phyical Collections,HBL,8/19/2024
MRD,12355457961,30000,Phyical Collections,ASK,8/15/2024
MRD,12355457962,24000,Phyical Collections,ASK,8/15/2024
RWP,12355457963,60000,Phyical Collections,MCB,8/15/2024
DAY,12355457964,19000,Phyical Collections,MCB,8/15/2024
SHP,12355457965,19688,Phyical Collections,MBL,8/15/2024
SHP,12355457966,15000,Phyical Collections,MBL,8/15/2024
DAY,12355457967,10000,Phyical Collections,UBL,8/15/2024
LDR,12355457968,24595,Phyical Collections,BOP,8/15/2024
JRW,12355457969,5000,Phyical Collections,HBL,8/15/2024
JRW,12355457970,26000,Phyical Collections,UBL,8/15/2024
JRW,12355457971,31920,Phyical Collections,BAL,8/15/2024
CHT,12355457972,27216,Phyical Collections,BAL,8/19/2024
JRW,12355457973,4557,Phyical Collections,BAH,8/15/2024
JRW,12355457974,50000,Phyical Collections,BAL,8/15/2024
JRW,12355457975,8700,Phyical Collections,ABL,8/15/2024
DGK,12355457976,65300,Phyical Collections,MBL,8/15/2024
RYK,12355457977,19300,Phyical Collections,BAH,8/15/2024
KAD,12355457978,25722,Phyical Collections,MCB,8/15/2024
SKT,12355457979,30200,Phyical Collections,HBL,8/15/2024
VHR,12355457980,21571,Phyical Collections,BAL,8/15/2024
VHR,12355457981,13700,Phyical Collections,BAL,8/15/2024
DAY,12355457982,9074,Phyical Collections,MCB,8/15/2024
DGK,12355457983,8800,Phyical Collections,UBL,8/15/2024
DGK,12355457984,66500,Phyical Collections,UBL,8/15/2024
DGK,12355457985,70000,Phyical Collections,BOP,8/13/2024
DGK,12355457986,40000,Phyical Collections,MCB,8/15/2024
JCB,12355457987,30000,Phyical Collections,BAL,8/15/2024
HY1,12355457988,7000,Phyical Collections,HMB,8/15/2024
HY1,12355457989,6068,Phyical Collections,HMB,8/15/2024
SHW,12355457990,2000,Phyical Collections,ABL,8/15/2024
SHW,12355457991,4000,Phyical Collections,BAH,8/15/2024
SHW,12355457992,6860,Phyical Collections,MBL,8/15/2024
LDR,12355457993,12850,Phyical Collections,BAH,8/15/2024
LDR,12355457994,128580,Phyical Collections,ASK,8/15/2024
NSF,12355457995,30000,Phyical Collections,UBL,8/15/2024
NSF,12355457996,30000,Phyical Collections,UBL,8/15/2024
HAF,12355457997,36500,Phyical Collections,BOP,8/15/2024
HAF,12355457998,49220,Phyical Collections,BAH,8/15/2024
DIK,12355457999,44000,Phyical Collections,MCB,8/15/2024
DIK,12355458000,90000,Phyical Collections,HBL,8/15/2024
DIK,12355458001,40000,Phyical Collections,HBL,8/15/2024
DIK,12355458002,15000,Phyical Collections,HBL,8/15/2024
DIK,12355458003,22000,Phyical Collections,HBL,8/15/2024
DIK,12355458004,56000,Phyical Collections,BAH,8/13/2024
BWP,12355458005,38000,Phyical Collections,MBL,8/15/2024
BWP,12355458006,88440,Phyical Collections,HBL,8/15/2024
BWP,12355458007,45000,Phyical Collections,BAL,8/15/2024
MUL,12355458008,34800,Phyical Collections,BAH,8/15/2024
BWN,12355458009,25710,Phyical Collections,UBL,8/15/2024
GUJ,12355458010,16000,Phyical Collections,MBL,8/15/2024
GUJ,12355458011,27000,Phyical Collections,BAH,8/15/2024
GUJ,12355458012,53000,Phyical Collections,ABL,8/15/2024
GUJ,12355458013,15000,Phyical Collections,ABL,8/15/2024
GUJ,12355458014,40000,Phyical Collections,BAH,8/15/2024
RYK,12355458015,6500,Phyical Collections,MCB,8/15/2024
RYK,12355458016,28500,Phyical Collections,BAL,8/15/2024
SRG,12355458017,25716,Phyical Collections,UBL,8/15/2024
SRG,12355458018,8572,Phyical Collections,UBL,8/15/2024
BWN,12355458019,28900,Phyical Collections,BAL,8/15/2024
DGK,12355458020,25000,Phyical Collections,MCB,8/15/2024
DGK,12355458021,40830,Phyical Collections,ABL,8/15/2024
SKT,12355458022,23600,Phyical Collections,UBL,8/15/2024
BHK,12355458023,128500,Phyical Collections,ASK,8/15/2024
SGR,12355458024,23310,Phyical Collections,ABL,8/15/2024
HY1,12355458025,15300,Phyical Collections,BAH,8/15/2024
HY1,12355458026,26500,Phyical Collections,BAH,8/15/2024
HY1,12355458027,10000,Phyical Collections,MCB,8/15/2024
MLS,12355458028,24874,Phyical Collections,MBL,8/15/2024
DGK,12355458029,2500,Phyical Collections,MCB,8/15/2024
BDN,12355458030,11200,Phyical Collections,MCB,8/15/2024
DAY,12355458031,25715,Phyical Collections,MCB,8/15/2024
DAY,12355458032,20400,Phyical Collections,BAL,8/15/2024
DAY,12355458033,5315,Phyical Collections,BAL,8/15/2024
RJN,12355458034,21680,Phyical Collections,BOP,8/15/2024
LDR,12355458035,85750,Phyical Collections,ABL,8/15/2024
MBD,12355458036,35000,Phyical Collections,UBL,8/15/2024
MBD,12355458037,22000,Phyical Collections,MBL,8/15/2024
MBD,12355458038,46500,Phyical Collections,HBL,8/15/2024
MLS,12355458039,9292.4,Phyical Collections,HMB,8/15/2024
SGR,12355458040,3000,Phyical Collections,BAL,8/15/2024
SGR,12355458041,5000,Phyical Collections,BAL,8/15/2024
SGR,12355458042,11148,Phyical Collections,BAL,8/15/2024
SGR,12355458043,8262.8,Phyical Collections,BAL,8/15/2024
SGR,12355458044,10700,Phyical Collections,BAL,8/15/2024
SGR,12355458045,17000,Phyical Collections,HBL,8/15/2024
DAY,12355458046,10000,Phyical Collections,MCB,8/15/2024
DAY,12355458047,4661.67,Phyical Collections,MCB,8/15/2024
LYH,12355458048,6351.8,Phyical Collections,MCB,8/15/2024
HAF,12355458049,2143,Phyical Collections,ABL,8/15/2024
MUL,12355458050,68500,Phyical Collections,ABL,8/15/2024
JHG,12355458051,27000,Phyical Collections,UBL,8/15/2024
JHG,12355458052,1750,Phyical Collections,ABL,8/15/2024
JHG,12355458053,3000,Phyical Collections,HBL,8/15/2024
TTS,12355458054,14000,Phyical Collections,ABL,8/15/2024
TTS,12355458055,65500,Phyical Collections,ABL,8/15/2024
ABT,12355458056,16000,Phyical Collections,ABL,8/15/2024
ABT,12355458057,37210,Phyical Collections,ABL,8/15/2024
ABT,12355458058,1000,Phyical Collections,ABL,8/15/2024
MIW,12355458059,23600,Phyical Collections,MBL,8/15/2024
MIW,12355458060,23528,Phyical Collections,ABL,8/15/2024
MIW,12355458061,8500,Phyical Collections,HMB,8/15/2024
MIW,12355458062,23500,Phyical Collections,MBL,8/15/2024
SRG,12355458063,26020,Phyical Collections,MCB,8/15/2024
HY1,12355458064,69240,Phyical Collections,BAH,8/13/2024
HY1,12355458065,32000,Phyical Collections,MCB,8/15/2024
HY1,12355458066,10000,Phyical Collections,MCB,8/15/2024
MUL,12355458067,34680,Phyical Collections,ABL,8/15/2024
KNP,12355458068,52032,Phyical Collections,ABL,8/15/2024
SDQ,12355458069,145000,Phyical Collections,MCB,8/15/2024
MRD,12355458070,17710,Phyical Collections,HBL,8/15/2024
MRD,12355458071,14698,Phyical Collections,UBL,8/15/2024
HY2,12355458072,42000,Phyical Collections,MCB,8/15/2024
HY2,12355458073,27000,Phyical Collections,MCB,8/15/2024
HSP,12355458074,8570,Phyical Collections,MBL,8/15/2024
HRN,12355458075,8572,Phyical Collections,ABL,8/15/2024
HRN,12355458076,27550,Phyical Collections,BAH,8/15/2024
DIK,12355458077,17000,Phyical Collections,BOP,8/15/2024
DIK,12355458078,19000,Phyical Collections,BOP,8/15/2024
NWS,12355458079,25716,Phyical Collections,HMB,8/15/2024
DIK,12355458080,42860,Phyical Collections,BAL,8/15/2024
JHG,12355458081,23400,Phyical Collections,MCB,8/15/2024
SGR,12355458082,85720,Phyical Collections,ABL,8/15/2024
SGR,12355458083,18500,Phyical Collections,HBL,8/15/2024
SGR,12355458084,15000,Phyical Collections,UBL,8/15/2024
SGR,12355458085,19400,Phyical Collections,UBL,8/15/2024
SGR,12355458086,3100,Phyical Collections,MCB,8/15/2024
SGR,12355458087,30000,Phyical Collections,MCB,8/15/2024
RYK,12355458088,12500,Phyical Collections,MBL,8/15/2024
RYK,12355458089,13000,Phyical Collections,UBL,8/15/2024
HY1,12355458090,49280,Phyical Collections,NBP,8/13/2024
CHW,12355458091,27222,Phyical Collections,MCB,8/15/2024
DGK,12355458092,49250,Phyical Collections,BAH,8/15/2024
SHW,12355458093,34280,Phyical Collections,MBL,8/15/2024
DGK,12355458094,25500,Phyical Collections,BOP,8/13/2024
SKT,12355458095,38500,Phyical Collections,ABL,8/15/2024
SKT,12355458096,70500,Phyical Collections,BAH,8/15/2024
SKT,12355458097,21000,Phyical Collections,MCB,8/15/2024
DAY,12355458098,25000,Phyical Collections,ABL,8/15/2024
DAY,12355458099,22000,Phyical Collections,ABL,8/15/2024
RYK,12355458100,8400,Phyical Collections,UBL,8/15/2024
KWL,12355458101,30000,Phyical Collections,UBL,8/15/2024
SKT,12355458102,43500,Phyical Collections,UBL,8/15/2024
DGK,12355458103,137952,Phyical Collections,MCB,8/15/2024
MUL,12355458104,85720,Phyical Collections,MBL,8/15/2024
KAS,12355458105,77150,Phyical Collections,HBL,8/15/2024
SRG,12355458106,10550,Phyical Collections,MBL,8/13/2024
KAS,12355458107,5800,Phyical Collections,ABL,8/15/2024
JRW,12355458108,17400,Phyical Collections,ABL,8/15/2024
DGK,12355458109,25500,Phyical Collections,UBL,8/15/2024
KAD,12355458110,12000,Phyical Collections,UBL,8/15/2024
GUJ,12355458111,26000,Phyical Collections,ABL,8/15/2024
GUJ,12355458112,21000,Phyical Collections,MCB,8/15/2024
HAF,12355458113,60000,Phyical Collections,HBL,8/15/2024
HAF,12355458114,12915,Phyical Collections,HBL,8/15/2024
FSL,12355458115,9539.2,Phyical Collections,HBL,8/15/2024
DAY,12355458116,29000,Phyical Collections,UBL,8/15/2024
DAY,12355458117,25000,Phyical Collections,HBL,8/15/2024
KWL,12355458118,29200,Phyical Collections,HBL,8/15/2024
KWL,12355458119,13000,Phyical Collections,HBL,8/15/2024
LYH,12355458120,23510,Phyical Collections,UBL,8/15/2024
KWL,12355458121,22960,Phyical Collections,HBL,8/15/2024
NWS,12355458122,42857,Phyical Collections,HBL,8/15/2024
HY2,12355458123,86300,Phyical Collections,UBL,8/15/2024
HY1,12355458124,3000,Phyical Collections,HMB,8/15/2024
HY1,12355458125,18000,Phyical Collections,BAH,8/15/2024
HY1,12355458126,11000,Phyical Collections,BAH,8/15/2024
HY1,12355458127,8000,Phyical Collections,HMB,8/13/2024
HY1,12355458128,3500,Phyical Collections,ABL,8/13/2024
HY1,12355458129,27420,Phyical Collections,NBP,8/13/2024
HY1,12355458130,51800,Phyical Collections,BAH,8/15/2024
MUL,12355458131,68576,Phyical Collections,UBL,8/15/2024
SHP,12355458132,881,Phyical Collections,BAL,8/13/2024
SHP,12355458133,1013,Phyical Collections,ABL,8/13/2024
SHP,12355458134,440.2,Phyical Collections,ABL,8/13/2024
SHP,12355458135,1100.5,Phyical Collections,ABL,8/13/2024
SHP,12355458136,308.1,Phyical Collections,ABL,8/13/2024
SHP,12355458137,440.5,Phyical Collections,ABL,8/13/2024
APE,12355458138,23460,Phyical Collections,ABL,8/13/2024
APE,12355458139,4360,Phyical Collections,ACB,8/13/2024
BDN,12355458140,18000,Phyical Collections,HBL,8/13/2024
BDN,12355458141,19000,Phyical Collections,HBL,8/13/2024
BDN,12355458142,8200,Phyical Collections,HBL,8/13/2024
BWP,12355458143,12000,Phyical Collections,MCB,8/13/2024
BWP,12355458144,52500,Phyical Collections,MBL,8/13/2024
BWP,12355458145,30900,Phyical Collections,HBL,8/13/2024
CHW,12355458146,27222,Phyical Collections,HBL,8/13/2024
DGK,12355458147,25722,Phyical Collections,MCB,8/13/2024
DGK,12355458148,147900,Phyical Collections,UBL,8/13/2024
DGK,12355458149,26016,Phyical Collections,MCB,8/13/2024
DGK,12355458150,8572,Phyical Collections,BOP,8/13/2024
DGK,12355458151,42860,Phyical Collections,HBL,8/13/2024
DIK,12355458152,88210,Phyical Collections,UBL,8/13/2024
DDU,12355458153,98560,Phyical Collections,MCB,8/13/2024
DDU,12355458154,24800,Phyical Collections,HBL,8/13/2024
DDU,12355458155,20000,Phyical Collections,HBL,8/13/2024
DAY,12355458156,30000,Phyical Collections,UBL,8/13/2024
DAY,12355458157,25000,Phyical Collections,UBL,8/13/2024
DAY,12355458158,10250,Phyical Collections,HMB,8/13/2024
DAY,12355458159,20000,Phyical Collections,UBL,8/13/2024
DAY,12355458160,25000,Phyical Collections,UBL,8/13/2024
DAY,12355458161,30000,Phyical Collections,HBL,8/13/2024
DAY,12355458162,32000,Phyical Collections,HBL,8/13/2024
DAY,12355458163,20000,Phyical Collections,ABL,8/13/2024
DAY,12355458164,30000,Phyical Collections,HBL,8/13/2024
HAF,12355458165,11500,Phyical Collections,MCB,8/13/2024
HAF,12355458166,29130,Phyical Collections,MBL,8/13/2024
HAF,12355458167,28500,Phyical Collections,ABL,8/13/2024
HAF,12355458168,8000,Phyical Collections,HBL,8/13/2024
HSP,12355458169,25716,Phyical Collections,UBL,8/13/2024
HSP,12355458170,17640,Phyical Collections,ABL,8/13/2024
HSP,12355458171,17394,Phyical Collections,UBL,8/13/2024
HSP,12355458172,17500,Phyical Collections,MBL,8/13/2024
HRN,12355458173,23268,Phyical Collections,HBL,8/13/2024
HRN,12355458174,23269,Phyical Collections,HMB,8/13/2024
HY2,12355458175,26700,Phyical Collections,ABL,8/13/2024
HY2,12355458176,3500,Phyical Collections,MCB,8/13/2024
HY2,12355458177,30000,Phyical Collections,HBL,8/13/2024
HY2,12355458178,5000,Phyical Collections,MCB,8/13/2024
HY2,12355458179,16000,Phyical Collections,UBL,8/13/2024
JRW,12355458180,12288.6,Phyical Collections,HBL,8/13/2024
JRW,12355458181,30150,Phyical Collections,ABL,8/13/2024
JRW,12355458182,23100,Phyical Collections,ABL,8/13/2024
JRW,12355458183,8000,Phyical Collections,ABL,8/13/2024
JRW,12355458184,43360,Phyical Collections,MCB,8/13/2024
JRW,12355458185,8720,Phyical Collections,UBL,8/13/2024
KAS,12355458186,59500,Phyical Collections,BOP,8/13/2024
KAS,12355458187,8610,Phyical Collections,BOP,8/13/2024
KAS,12355458188,9000,Phyical Collections,HBL,8/13/2024
KWL,12355458189,9070,Phyical Collections,HBL,8/13/2024
KWL,12355458190,5800,Phyical Collections,MCB,8/13/2024
KAD,12355458191,42860,Phyical Collections,MCB,8/13/2024
KAD,12355458192,16320,Phyical Collections,UBL,8/13/2024
KAD,12355458193,9400,Phyical Collections,HBL,8/13/2024
KNP,12355458194,34440,Phyical Collections,MCB,8/13/2024
KNP,12355458195,40576,Phyical Collections,UBL,8/13/2024
KNP,12355458196,8572,Phyical Collections,UBL,8/13/2024
KNP,12355458197,65000,Phyical Collections,UBL,8/13/2024
LHR,12355458198,25710,Phyical Collections,MCB,8/13/2024
LDR,12355458199,25716,Phyical Collections,MBL,8/13/2024
LYH,12355458200,71000,Phyical Collections,UBL,8/13/2024
MUL,12355458201,28800,Phyical Collections,UBL,8/13/2024
MUL,12355458202,42000,Phyical Collections,UBL,8/13/2024
MBD,12355458203,23260,Phyical Collections,HBL,8/13/2024
MBD,12355458204,4300,Phyical Collections,ABL,8/13/2024
MBD,12355458205,33540,Phyical Collections,BAH,8/12/2024
MCN,12355458206,11360,Phyical Collections,MBL,8/13/2024
MCN,12355458207,34000,Phyical Collections,HMB,8/13/2024
MCN,12355458208,10000,Phyical Collections,ABL,8/13/2024
MZG,12355458209,20000,Phyical Collections,BAL,8/13/2024
MRD,12355458210,6000,Phyical Collections,UBL,8/13/2024
MRD,12355458211,51500,Phyical Collections,HBL,8/13/2024
NSF,12355458212,100000,Phyical Collections,MCB,8/13/2024
NSF,12355458213,100000,Phyical Collections,MCB,8/13/2024
NSF,12355458214,15000,Phyical Collections,BAH,8/13/2024
NWS,12355458215,42860,Phyical Collections,HMB,8/13/2024
NWS,12355458216,42900,Phyical Collections,MCB,8/13/2024
SKT,12355458217,44000,Phyical Collections,ABL,8/13/2024
SKT,12355458218,1815,Phyical Collections,BOP,8/13/2024
TTS,12355458219,26000,Phyical Collections,ASK,8/13/2024
SHW,12355458220,22680,Phyical Collections,MBL,8/12/2024
SHW,12355458221,51435,Phyical Collections,BAH,8/13/2024
SHW,12355458222,51435,Phyical Collections,BAH,8/13/2024
SHW,12355458223,70608,Phyical Collections,BAH,8/13/2024
SHW,12355458224,23500,Phyical Collections,HBL,8/13/2024
SHJ,12355458225,69500,Phyical Collections,BAH,8/13/2024
SRG,12355458226,29435,Phyical Collections,UBL,8/13/2024
RWP,12355458227,53000,Phyical Collections,HMB,8/13/2024
RWP,12355458228,14500,Phyical Collections,HBL,8/13/2024
RWP,12355458229,17630,Phyical Collections,HBL,8/13/2024
RWP,12355458230,21425,Phyical Collections,MCB,8/13/2024
VHR,12355458231,32360,Phyical Collections,HBL,8/13/2024
VHR,12355458232,11000,Phyical Collections,MCB,8/13/2024
SDQ,12355458233,17136,Phyical Collections,MBL,8/13/2024
PSW,12355458234,110000,Phyical Collections,UBL,8/13/2024
PSW,12355458235,110000,Phyical Collections,BAH,8/13/2024
KHI,12355458236,35000,Phyical Collections,MCB,8/12/2024
SGR,12355458237,23500,Phyical Collections,MCB,8/13/2024
SGR,12355458238,3600,Phyical Collections,MBL,8/13/2024
SGR,12355458239,24000,Phyical Collections,MCB,8/13/2024
SGR,12355458240,23310,Phyical Collections,MCB,8/13/2024
ABT,12355458241,35250,Phyical Collections,ABL,8/13/2024
APE,12355458242,11721,Phyical Collections,ABL,8/13/2024
APE,12355458243,11721,Phyical Collections,ABL,8/13/2024
BDN,12355458244,8714,Phyical Collections,MCB,8/13/2024
BWP,12355458245,9000,Phyical Collections,ABL,8/13/2024
BWP,12355458246,14460,Phyical Collections,ABL,8/13/2024
CHT,12355458247,34696,Phyical Collections,MCB,8/13/2024
HAF,12355458248,12858,Phyical Collections,BAL,8/13/2024
FSL,12355458249,27222,Phyical Collections,MCB,8/13/2024
FSL,12355458250,13610,Phyical Collections,MCB,8/13/2024
FSL,12355458251,56000,Phyical Collections,HBL,8/13/2024
FSL,12355458252,26000,Phyical Collections,MCB,8/13/2024
LDR,12355458253,17340,Phyical Collections,MBL,8/13/2024
LDR,12355458254,8575,Phyical Collections,MBL,8/13/2024
LDR,12355458255,30000,Phyical Collections,ABL,8/13/2024
HSP,12355458256,17400,Phyical Collections,BOP,8/13/2024
HRN,12355458257,4286,Phyical Collections,BAH,8/13/2024
HRN,12355458258,90580,Phyical Collections,BAH,8/13/2024
HRN,12355458259,38000,Phyical Collections,MBL,8/13/2024
KAS,12355458260,25200,Phyical Collections,MCB,8/13/2024
KAS,12355458261,47350,Phyical Collections,ABL,8/13/2024
JRW,12355458262,6000,Phyical Collections,UBL,8/13/2024
JRW,12355458263,8300,Phyical Collections,BAH,8/13/2024
OKR,12355458264,44500,Phyical Collections,ABL,8/13/2024
OKR,12355458265,10000,Phyical Collections,BOP,8/13/2024
OKR,12355458266,15000,Phyical Collections,BOP,8/13/2024
PKP,12355458267,4700,Phyical Collections,ABL,8/13/2024
PKP,12355458268,12220,Phyical Collections,ABL,8/13/2024
PKP,12355458269,17304,Phyical Collections,UBL,8/13/2024
PKP,12355458270,18000,Phyical Collections,MCB,8/13/2024
PKP,12355458271,26130,Phyical Collections,BOP,8/13/2024
PKP,12355458272,12130,Phyical Collections,BOP,8/13/2024
PKP,12355458273,21813.8,Phyical Collections,BAL,8/13/2024
PKP,12355458274,24500,Phyical Collections,MCB,8/13/2024
PKP,12355458275,41500,Phyical Collections,MCB,8/13/2024
PKP,12355458276,22500,Phyical Collections,BAL,8/13/2024
MUL,12355458277,25720,Phyical Collections,BOP,8/13/2024
MUL,12355458278,25720,Phyical Collections,BOP,8/13/2024
RYK,12355458279,17344,Phyical Collections,ABL,8/13/2024
RYK,12355458280,9000,Phyical Collections,HBL,8/13/2024
RYK,12355458281,22270,Phyical Collections,HBL,8/16/2024
RYK,12355458282,37593,Phyical Collections,MCB,8/13/2024
SDP,12355458283,9500,Phyical Collections,ABL,8/13/2024
SHP,12355458284,14510,Phyical Collections,BAL,8/13/2024
SHP,12355458285,34288,Phyical Collections,BAL,8/13/2024
SHP,12355458286,19000,Phyical Collections,HBL,8/13/2024
SHP,12355458287,14100,Phyical Collections,MBL,8/13/2024
SHJ,12355458288,11750,Phyical Collections,MCB,8/13/2024
SHJ,12355458289,4050,Phyical Collections,UBL,8/13/2024
SHJ,12355458290,8550,Phyical Collections,UBL,8/13/2024
SHW,12355458291,23540,Phyical Collections,ABL,8/13/2024
SHW,12355458292,34280,Phyical Collections,MBL,8/13/2024
SHW,12355458293,19000,Phyical Collections,HBL,8/13/2024
RJN,12355458294,35120,Phyical Collections,MCB,8/13/2024
KAD,12355458295,86200,Phyical Collections,BAH,8/13/2024
HRN,12355458296,23372.5,Phyical Collections,HBL,8/13/2024
MUL,12355458297,4500,Phyical Collections,BOP,8/13/2024
MUL,12355458298,25750,Phyical Collections,UBL,8/12/2024
GUJ,12355458299,76000,Phyical Collections,ABL,8/13/2024
GUJ,12355458300,74000,Phyical Collections,ABL,8/13/2024
SDQ,12355458301,10500,Phyical Collections,UBL,8/13/2024
CHW,12355458302,27222,Phyical Collections,HBL,8/13/2024
HAF,12355458303,4400,Phyical Collections,BOP,8/13/2024
MRD,12355458304,42900,Phyical Collections,MCB,8/13/2024
HY2,12355458305,11000,Phyical Collections,HBL,8/13/2024
KHI,12355458306,22680,Phyical Collections,MCB,8/13/2024
KHI,12355458307,30000,Phyical Collections,MCB,8/13/2024
APE,12355458308,26010,Phyical Collections,BAL,8/13/2024
SKT,12355458309,85720,Phyical Collections,BAL,8/13/2024
KAD,12355458310,73000,Phyical Collections,HBL,8/13/2024
KAD,12355458311,38436,Phyical Collections,MCB,8/15/2024
GUJ,12355458312,9966,Phyical Collections,ABL,8/13/2024
GUJ,12355458313,15750,Phyical Collections,UBL,8/13/2024
MRD,12355458314,1000,Phyical Collections,HBL,8/13/2024
HRN,12355458315,38000,Phyical Collections,ABL,8/13/2024
HRN,12355458316,30000,Phyical Collections,UBL,8/13/2024
HRN,12355458317,26500,Phyical Collections,ABL,8/13/2024
HRN,12355458318,17000,Phyical Collections,ABL,8/13/2024
MUL,12355458319,4450,Phyical Collections,UBL,8/13/2024
BDN,12355458320,6000,Phyical Collections,HBL,8/13/2024
BDN,12355458321,8500,Phyical Collections,UBL,8/13/2024
KAS,12355458322,17500,Phyical Collections,ABL,8/13/2024
MRD,12355458323,60000,Phyical Collections,HBL,8/13/2024
FSL,12355458324,4337,Phyical Collections,BAL,8/13/2024
MZG,12355458325,17150,Phyical Collections,BAL,8/13/2024
DGK,12355458326,13000,Phyical Collections,HBL,8/13/2024
JRW,12355458327,15829,Phyical Collections,HBL,8/13/2024
CHT,12355458328,30359,Phyical Collections,MCB,8/13/2024
TTS,12355458329,23536,Phyical Collections,BAL,8/13/2024
VHR,12355458330,4286,Phyical Collections,UBL,8/13/2024
JRW,12355458331,51664,Phyical Collections,UBL,8/13/2024
JRW,12355458332,5000,Phyical Collections,MBL,8/13/2024
JRW,12355458333,37500,Phyical Collections,BAH,8/13/2024
JRW,12355458334,8400,Phyical Collections,ABL,8/13/2024
SGR,12355458335,10000,Phyical Collections,HBL,8/13/2024
SGR,12355458336,3800,Phyical Collections,MCB,8/13/2024
GUJ,12355458337,27700,Phyical Collections,BAH,8/13/2024
FSL,12355458338,8580,Phyical Collections,BOP,8/13/2024
MBD,12355458339,161000,Phyical Collections,HBL,8/13/2024
MUL,12355458340,10000,Phyical Collections,HBL,8/13/2024
MBD,12355458341,17500,Phyical Collections,HBL,8/13/2024
MBD,12355458342,10000,Phyical Collections,HBL,8/13/2024
MBD,12355458343,43000,Phyical Collections,BAL,8/13/2024
LHR,12355458344,25710,Phyical Collections,UBL,8/13/2024
LYH,12355458345,20800,Phyical Collections,MCB,8/13/2024
LYH,12355458346,13480,Phyical Collections,UBL,8/13/2024
RYK,12355458347,35000,Phyical Collections,MCB,8/13/2024
VHR,12355458348,58785,Phyical Collections,ACB,8/13/2024
SDQ,12355458349,5700,Phyical Collections,ABL,8/12/2024
SDQ,12355458350,26600,Phyical Collections,ABL,8/12/2024
KAD,12355458351,17144,Phyical Collections,UBL,8/13/2024
LDR,12355458352,40620,Phyical Collections,MBL,8/13/2024
HAF,12355458353,11800,Phyical Collections,HBL,8/13/2024
HAF,12355458354,22900,Phyical Collections,MCB,8/13/2024
HAF,12355458355,11000,Phyical Collections,ABL,8/13/2024
HSP,12355458356,21680,Phyical Collections,UBL,8/13/2024
MBD,12355458357,12800,Phyical Collections,MCB,8/13/2024
MUL,12355458358,35000,Phyical Collections,ABL,8/13/2024
HAF,12355458359,27700,Phyical Collections,ABL,8/13/2024
CHW,12355458360,17344,Phyical Collections,ASK,8/13/2024
HRN,12355458361,4536.32,Phyical Collections,MBL,8/13/2024
HRN,12355458362,98000,Phyical Collections,MCB,8/13/2024
HRN,12355458363,60000,Phyical Collections,HBL,8/13/2024
HRN,12355458364,20000,Phyical Collections,ABL,8/13/2024
NSF,12355458365,1000,Phyical Collections,BAH,8/13/2024
MRD,12355458366,127800,Phyical Collections,ABL,8/13/2024
NWS,12355458367,43360,Phyical Collections,MBL,8/13/2024
KAS,12355458368,25800,Phyical Collections,ABL,8/13/2024
KAS,12355458369,4300,Phyical Collections,BOP,8/13/2024
MLS,12355458370,60000,Phyical Collections,MCB,8/13/2024
JRW,12355458371,21000,Phyical Collections,UBL,8/13/2024
HSP,12355458372,30135,Phyical Collections,ABL,8/13/2024
JHG,12355458373,17150,Phyical Collections,MCB,8/13/2024
KAS,12355458374,8600,Phyical Collections,BOP,8/13/2024
CHW,12355458375,40000,Phyical Collections,MBL,8/13/2024
FSL,12355458376,36300,Phyical Collections,UBL,8/13/2024
FSL,12355458377,20000,Phyical Collections,BOP,8/13/2024
FSL,12355458378,20500,Phyical Collections,BOP,8/13/2024
